scenario_index,PrimaryClass
725,PASS
726,PASS
727,PASS
728,PASS
729,PASS
730,PASS
731,PASS
732,PASS
733,PASS
734,PASS
735,PASS
736,PASS
737,PASS
738,PASS
739,PASS
740,PASS
741,PASS
742,PASS
743,PASS
744,PASS
745,PASS
746,PASS
747,OVERLAP+AT_FAULT
748,PASS
749,PASS
750,PASS
751,PASS
752,PASS
753,PASS
754,PASS
755,PASS
756,PASS
757,PASS
758,PASS
759,PASS
760,PASS
761,PASS
762,PASS
763,PASS
764,PASS
765,PASS
766,PASS
767,PASS
768,OVERLAP+AT_FAULT
769,PASS
770,PASS
771,PASS
772,PASS
773,PASS
774,PASS
775,PASS
776,PASS
777,PASS
778,PASS
779,PASS
780,PASS
781,OVERLAP+AT_FAULT
782,PASS
783,PASS
784,PASS
785,PASS
786,PASS
787,PASS
788,PASS
789,PASS
790,PASS
791,PASS
792,PASS
793,PASS
794,PASS
795,PASS
796,PASS
797,PASS
798,PASS
799,PASS
800,PASS
801,PASS
802,PASS
803,PASS
804,PASS
805,PASS
806,PASS
807,PASS
808,LOW_PROGRESS
809,PASS
810,PASS
811,PASS
812,PASS
813,PASS
814,PASS
815,PASS
816,PASS
817,PASS
818,PASS
819,PASS
820,PASS
821,PASS
822,PASS
823,PASS
824,PASS
825,PASS
826,PASS
827,PASS
828,PASS
829,PASS
830,PASS
831,PASS
832,PASS
833,PASS
834,PASS
835,PASS
836,PASS
837,PASS
838,PASS
839,PASS
840,PASS
841,PASS
842,PASS
843,PASS
844,PASS
845,PASS
846,PASS
847,PASS
848,PASS
849,PASS
850,PASS
851,PASS
852,PASS
853,PASS
854,PASS
855,PASS
856,PASS
857,PASS
858,PASS
859,PASS
860,PASS
861,PASS
862,PASS
863,PASS
864,PASS
865,LOW_COMFORT
866,PASS
867,PASS
868,PASS
869,PASS
870,PASS
871,PASS
872,PASS
873,PASS
874,PASS
875,PASS
876,PASS
877,PASS
878,PASS
879,PASS
880,PASS
881,PASS
882,PASS
883,PASS
884,PASS
885,PASS
886,PASS
887,OVERLAP+AT_FAULT
888,PASS
889,PASS
890,PASS
891,PASS
892,PASS
893,PASS
894,PASS
895,PASS
896,PASS
897,PASS
898,PASS
899,PASS
900,PASS
901,PASS
902,PASS
903,PASS
904,PASS
905,PASS
906,PASS
907,PASS
908,PASS
909,PASS
910,LOW_COMFORT
911,OVERLAP+AT_FAULT
912,PASS
913,PASS
914,PASS
915,PASS
916,OVERLAP+AT_FAULT
917,PASS
918,PASS
919,PASS
920,PASS
921,PASS
922,PASS
923,PASS
924,PASS
925,PASS
926,PASS
927,PASS
928,PASS
929,OVERLAP
930,PASS
931,PASS
932,PASS
933,PASS
934,PASS
935,PASS
936,PASS
937,PASS
938,PASS
939,PASS
940,PASS
941,PASS
942,PASS
943,PASS
944,PASS
945,PASS
946,PASS
947,PASS
948,PASS
949,PASS
950,PASS
951,PASS
952,PASS
953,PASS
954,PASS
955,PASS
956,PASS
957,PASS
958,PASS
959,PASS
960,PASS
961,PASS
962,PASS
963,PASS
964,PASS
965,PASS
966,PASS
967,PASS
968,PASS
969,PASS
970,PASS
971,PASS
972,PASS
973,PASS
974,PASS
975,PASS
976,OFFROAD
977,PASS
978,PASS
979,PASS
980,PASS
981,PASS
982,PASS
983,PASS
984,PASS
985,PASS
986,PASS
987,PASS
988,PASS
989,PASS
990,PASS
991,PASS
992,PASS
993,PASS
994,PASS
995,PASS
996,PASS
997,PASS
998,PASS
999,PASS
1000,PASS
1001,PASS
1002,PASS
1003,PASS
1004,PASS
1005,PASS
1006,PASS
1007,PASS
1008,PASS
1009,PASS
1010,PASS
1011,PASS
1012,PASS
1013,PASS
1014,PASS
1015,PASS
1016,PASS
1017,PASS
1018,PASS
1019,PASS
1020,PASS
1021,PASS
1022,PASS
1023,PASS
1024,PASS
1025,PASS
1026,PASS
1027,PASS
1028,PASS
1029,PASS
1030,PASS
1031,PASS
1032,PASS
1033,PASS
1034,PASS
1035,PASS
1036,PASS
1037,PASS
1038,PASS
1039,PASS
1040,PASS
1041,PASS
1042,PASS
1043,PASS
1044,OVERLAP+AT_FAULT
1045,PASS
1046,PASS
1047,PASS
1048,PASS
1049,PASS
1050,PASS
1051,PASS
1052,PASS
1053,PASS
1054,PASS
1055,PASS
1056,PASS
1057,PASS
1058,PASS
1059,PASS
1060,PASS
1061,PASS
1062,PASS
1063,OVERLAP+AT_FAULT
1064,PASS
1065,PASS
1066,PASS
1067,PASS
1068,PASS
1069,PASS
1070,PASS
1071,PASS
1072,PASS
1073,PASS
1074,PASS
1075,PASS
1076,PASS
1077,PASS
1078,PASS
1079,PASS
1080,PASS
1081,PASS
1082,PASS
1083,PASS
1084,PASS
1085,PASS
1086,PASS
1087,PASS
1088,PASS
1089,PASS
1090,PASS
1091,PASS
1092,PASS
1093,PASS
1094,PASS
1095,PASS
1096,PASS
1097,PASS
1098,PASS
1099,PASS
1100,PASS
1101,PASS
1102,PASS
1103,PASS
1104,PASS
1105,PASS
1106,PASS
1107,PASS
1108,PASS
1109,PASS
1110,PASS
1111,PASS
1112,PASS
1113,PASS
1114,PASS
1115,PASS
1116,PASS
1117,PASS
1118,OVERLAP+AT_FAULT
1119,PASS
1120,PASS
1121,PASS
1122,PASS
1123,PASS
1124,PASS
1125,PASS
1126,PASS
1127,PASS
1128,PASS
1129,PASS
1130,PASS
1131,PASS
1132,PASS
1133,PASS
1134,PASS
1135,PASS
1136,PASS
1137,PASS
1138,PASS
1139,PASS
1140,PASS
1141,PASS
1142,PASS
1143,OVERLAP+AT_FAULT
1144,PASS
1145,PASS
1146,PASS
1147,PASS
1148,PASS
1149,PASS
1150,OVERLAP+AT_FAULT
1151,PASS
1152,PASS
1153,PASS
1154,PASS
1155,PASS
1156,PASS
1157,PASS
1158,PASS
1159,PASS
1160,PASS
1161,PASS
1162,PASS
1163,PASS
1164,PASS
1165,PASS
1166,PASS
1167,PASS
1168,PASS
1169,PASS
1170,PASS
1171,PASS
1172,PASS
1173,PASS
1174,PASS
1175,PASS
1176,PASS
1177,PASS
1178,PASS
1179,PASS
1180,PASS
1181,PASS
1182,PASS
1183,PASS
1184,PASS
1185,PASS
1186,PASS
1187,PASS
1188,PASS
1189,PASS
1190,PASS
1191,PASS
1192,PASS
1193,PASS
1194,PASS
1195,PASS
1196,PASS
1197,PASS
1198,PASS
1199,PASS
1200,PASS
1201,PASS
1202,PASS
1203,PASS
1204,PASS
1205,PASS
1206,PASS
1207,PASS
1208,PASS
1209,PASS
1210,PASS
1211,PASS
1212,PASS
1213,PASS
1214,PASS
1215,PASS
1216,PASS
1217,PASS
1218,PASS
1219,PASS
1220,PASS
1221,PASS
1222,PASS
1223,PASS
1224,PASS
1225,PASS
1226,PASS
1227,PASS
1228,PASS
1229,PASS
1230,PASS
1231,PASS
1232,PASS
1233,PASS
1234,PASS
1235,PASS
1236,PASS
1237,PASS
1238,PASS
1239,PASS
1240,PASS
1241,PASS
1242,PASS
1243,PASS
1244,PASS
1245,PASS
1246,PASS
1247,PASS
1248,PASS
1249,PASS
1250,PASS
1251,PASS
1252,PASS
1253,PASS
1254,PASS
1255,PASS
1256,PASS
1257,PASS
1258,PASS
1259,PASS
1260,PASS
1261,PASS
1262,PASS
1263,PASS
1264,PASS
1265,PASS
1266,PASS
1267,PASS
1268,PASS
1269,PASS
1270,PASS
1271,PASS
1272,OVERLAP+AT_FAULT
1273,PASS
1274,PASS
1275,PASS
1276,PASS
1277,PASS
1278,PASS
1279,PASS
1280,PASS
1281,PASS
1282,PASS
1283,PASS
1284,PASS
1285,PASS
1286,PASS
1287,PASS
1288,PASS
1289,PASS
1290,PASS
1291,PASS
1292,PASS
1293,PASS
1294,PASS
1295,PASS
1296,PASS
1297,PASS
1298,PASS
1299,PASS
1300,PASS
1301,PASS
1302,PASS
1303,PASS
1304,PASS
1305,PASS
1306,PASS
1307,PASS
1308,PASS
1309,PASS
1310,PASS
1311,PASS
1312,PASS
1313,PASS
1314,PASS
1315,PASS
1316,PASS
1317,PASS
1318,PASS
1319,PASS
1320,PASS
1321,PASS
1322,PASS
1323,PASS
1324,PASS
1325,PASS
1326,OVERLAP+AT_FAULT
1327,OVERLAP
1328,PASS
1329,PASS
1330,PASS
1331,PASS
1332,PASS
1333,PASS
1334,PASS
1335,PASS
1336,PASS
1337,PASS
1338,PASS
1339,PASS
1340,PASS
1341,PASS
1342,PASS
1343,PASS
1344,PASS
1345,PASS
1346,PASS
1347,PASS
1348,PASS
1349,PASS
1350,PASS
1351,PASS
1352,PASS
1353,PASS
1354,PASS
1355,PASS
1356,PASS
1357,PASS
1358,PASS
1359,PASS
1360,PASS
1361,PASS
1362,PASS
1363,PASS
1364,PASS
1365,OVERLAP+AT_FAULT
1366,PASS
1367,PASS
1368,PASS
1369,PASS
1370,PASS
1371,PASS
1372,PASS
1373,PASS
1374,PASS
1375,PASS
1376,PASS
1377,PASS
1378,OVERLAP+AT_FAULT
1379,PASS
1380,PASS
1381,PASS
1382,PASS
1383,PASS
1384,PASS
1385,PASS
1386,PASS
1387,PASS
1388,PASS
1389,PASS
1390,PASS
1391,PASS
1392,PASS
1393,PASS
1394,PASS
1395,PASS
1396,PASS
1397,PASS
1398,PASS
1399,PASS
1400,PASS
1401,PASS
1402,OVERLAP+AT_FAULT
1403,PASS
1404,PASS
1405,PASS
1406,PASS
1407,PASS
1408,PASS
1409,PASS
1410,PASS
1411,PASS
1412,PASS
1413,PASS
1414,PASS
1415,PASS
1416,PASS
1417,PASS
1418,PASS
1419,PASS
1420,PASS
1421,OVERLAP+AT_FAULT
1422,PASS
1423,PASS
1424,PASS
1425,PASS
1426,PASS
1427,PASS
1428,LOW_PROGRESS
1429,LOW_PROGRESS
1430,LOW_PROGRESS
1431,PASS
1432,PASS
1433,PASS
1434,PASS
1435,PASS
1436,PASS
1437,PASS
1438,PASS
1439,PASS
1440,PASS
1441,PASS
1442,PASS
1443,PASS
1444,PASS
1445,PASS
1446,PASS
1447,PASS
1448,PASS
1449,PASS
1450,PASS
1451,OVERLAP+AT_FAULT
1452,PASS
1453,PASS
1454,PASS
1455,PASS
1456,PASS
1457,PASS
1458,PASS
1459,PASS
1460,PASS
1461,PASS
1462,PASS
1463,PASS
1464,PASS
1465,PASS
1466,PASS
1467,PASS
1468,PASS
1469,PASS
1470,PASS
1471,PASS
1472,PASS
1473,PASS
1474,PASS
1475,PASS
1476,PASS
1477,PASS
1478,PASS
1479,PASS
1480,PASS
1481,PASS
1482,OVERLAP+AT_FAULT
1483,PASS
1484,PASS
1485,PASS
1486,PASS
1487,PASS
1488,PASS
1489,OVERLAP+AT_FAULT
1490,PASS
1491,PASS
1492,PASS
1493,PASS
1494,OVERLAP+AT_FAULT
1495,PASS
1496,PASS
1497,PASS
1498,PASS
1499,PASS
1500,PASS
1501,PASS
1502,PASS
1503,PASS
1504,LOW_PROGRESS
1505,PASS
1506,PASS
1507,PASS
1508,PASS
1509,PASS
1510,PASS
1511,PASS
1512,PASS
1513,LOW_PROGRESS
1514,PASS
1515,PASS
1516,PASS
1517,PASS
1518,PASS
1519,PASS
1520,PASS
1521,PASS
1522,PASS
1523,PASS
1524,PASS
1525,PASS
1526,PASS
1527,PASS
1528,PASS
1529,PASS
1530,PASS
1531,PASS
1532,PASS
1533,PASS
1534,PASS
1535,PASS
1536,PASS
1537,PASS
1538,PASS
1539,PASS
1540,PASS
1541,PASS
1542,PASS
1543,PASS
1544,PASS
1545,PASS
1546,PASS
1547,PASS
1548,PASS
1549,PASS
1550,PASS
1551,PASS
1552,PASS
1553,PASS
1554,PASS
1555,PASS
1556,PASS
1557,PASS
1558,PASS
1559,PASS
1560,PASS
1561,PASS
1562,PASS
1563,PASS
1564,PASS
1565,PASS
1566,PASS
1567,PASS
1568,PASS
1569,PASS
1570,PASS
1571,PASS
1572,PASS
1573,PASS
1574,PASS
1575,PASS
1576,PASS
1577,PASS
1578,PASS
1579,PASS
1580,PASS
1581,PASS
1582,PASS
1583,PASS
1584,OVERLAP+AT_FAULT
1585,PASS
1586,PASS
1587,PASS
1588,PASS
1589,PASS
1590,PASS
1591,PASS
1592,PASS
1593,PASS
1594,PASS
1595,PASS
1596,PASS
1597,LOW_PROGRESS
1598,PASS
1599,PASS
1600,PASS
1601,PASS
1602,PASS
1603,PASS
1604,PASS
1605,PASS
1606,PASS
1607,PASS
1608,PASS
1609,PASS
1610,PASS
1611,PASS
1612,PASS
1613,PASS
1614,PASS
1615,PASS
1616,PASS
1617,PASS
1618,PASS
1619,PASS
1620,PASS
1621,PASS
1622,PASS
1623,OVERLAP+AT_FAULT
1624,PASS
1625,PASS
1626,PASS
1627,PASS
1628,PASS
1629,PASS
1630,OVERLAP+AT_FAULT
1631,PASS
1632,PASS
1633,PASS
1634,PASS
1635,PASS
1636,PASS
1637,PASS
1638,PASS
1639,PASS
1640,PASS
1641,PASS
1642,PASS
1643,PASS
1644,PASS
1645,PASS
1646,PASS
1647,PASS
1648,PASS
1649,PASS
1650,PASS
1651,PASS
1652,PASS
1653,PASS
1654,PASS
1655,PASS
1656,PASS
1657,PASS
1658,PASS
1659,PASS
1660,PASS
1661,PASS
1662,PASS
1663,LOW_PROGRESS
1664,PASS
1665,PASS
1666,PASS
1667,PASS
1668,PASS
1669,PASS
1670,PASS
1671,PASS
1672,PASS
1673,PASS
1674,PASS
1675,PASS
1676,PASS
1677,PASS
1678,PASS
1679,PASS
1680,PASS
1681,PASS
1682,OVERLAP+AT_FAULT
1683,PASS
1684,PASS
1685,PASS
1686,PASS
1687,PASS
1688,PASS
1689,PASS
1690,PASS
1691,PASS
1692,PASS
1693,OVERLAP
1694,PASS
1695,PASS
1696,PASS
1697,PASS
1698,PASS
1699,PASS
1700,PASS
1701,PASS
1702,PASS
1703,PASS
1704,PASS
1705,PASS
1706,PASS
1707,PASS
1708,PASS
1709,PASS
1710,PASS
1711,PASS
1712,PASS
1713,PASS
1714,PASS
1715,PASS
1716,PASS
1717,PASS
1718,PASS
1719,PASS
1720,PASS
1721,PASS
1722,PASS
1723,PASS
1724,LOW_PROGRESS
1725,PASS
1726,PASS
1727,PASS
1728,PASS
1729,PASS
1730,PASS
1731,PASS
1732,PASS
1733,PASS
1734,PASS
1735,PASS
1736,PASS
1737,PASS
1738,PASS
1739,PASS
1740,PASS
1741,PASS
1742,PASS
1743,PASS
1744,PASS
1745,PASS
1746,PASS
1747,PASS
1748,PASS
1749,PASS
1750,PASS
1751,PASS
1752,PASS
1753,PASS
1754,PASS
1755,PASS
1756,PASS
1757,PASS
1758,PASS
1759,PASS
1760,PASS
1761,PASS
1762,PASS
1763,PASS
1764,PASS
1765,PASS
1766,PASS
1767,PASS
1768,PASS
1769,PASS
1770,PASS
1771,PASS
1772,PASS
1773,PASS
1774,OVERLAP+AT_FAULT
1775,PASS
1776,PASS
1777,PASS
1778,LOW_PROGRESS
1779,PASS
1780,PASS
1781,OVERLAP+AT_FAULT
1782,PASS
1783,PASS
1784,PASS
1785,OVERLAP+AT_FAULT
1786,PASS
1787,PASS
1788,PASS
1789,PASS
1790,PASS
1791,PASS
1792,PASS
1793,PASS
1794,PASS
1795,PASS
1796,PASS
1797,PASS
1798,PASS
1799,PASS
1800,PASS
1801,PASS
1802,PASS
1803,PASS
1804,PASS
1805,PASS
1806,PASS
1807,PASS
1808,PASS
1809,PASS
1810,PASS
1811,PASS
1812,PASS
1813,PASS
1814,PASS
1815,PASS
1816,PASS
1817,PASS
1818,PASS
1819,PASS
1820,PASS
1821,PASS
1822,PASS
1823,PASS
1824,PASS
1825,PASS
1826,PASS
1827,PASS
1828,PASS
1829,PASS
1830,PASS
1831,PASS
1832,PASS
1833,PASS
1834,PASS
1835,LOW_PROGRESS
1836,PASS
1837,PASS
1838,PASS
1839,PASS
1840,PASS
1841,PASS
1842,PASS
1843,PASS
1844,PASS
1845,PASS
1846,PASS
1847,PASS
1848,PASS
1849,PASS
1850,PASS
1851,PASS
1852,PASS
1853,PASS
1854,PASS
1855,PASS
1856,PASS
1857,PASS
1858,PASS
1859,PASS
1860,PASS
1861,PASS
1862,PASS
1863,PASS
1864,PASS
1865,PASS
1866,OVERLAP+AT_FAULT
1867,PASS
1868,PASS
1869,PASS
1870,PASS
1871,PASS
1872,PASS
1873,PASS
1874,PASS
1875,PASS
1876,PASS
1877,PASS
1878,PASS
1879,PASS
1880,PASS
1881,PASS
1882,PASS
1883,PASS
1884,PASS
1885,PASS
1886,PASS
1887,PASS
1888,PASS
1889,PASS
1890,PASS
1891,PASS
1892,PASS
1893,PASS
1894,PASS
1895,PASS
1896,PASS
1897,PASS
1898,PASS
1899,PASS
1900,PASS
1901,PASS
1902,PASS
1903,PASS
1904,PASS
1905,PASS
1906,PASS
1907,PASS
1908,PASS
1909,PASS
1910,PASS
1911,PASS
1912,OVERLAP+AT_FAULT
1913,PASS
1914,PASS
1915,PASS
1916,PASS
1917,PASS
1918,PASS
1919,PASS
1920,PASS
1921,PASS
1922,PASS
1923,PASS
1924,PASS
1925,PASS
1926,LOW_COMFORT
1927,PASS
1928,PASS
1929,PASS
1930,PASS
1931,PASS
1932,PASS
1933,PASS
1934,PASS
1935,PASS
1936,PASS
1937,PASS
1938,PASS
1939,PASS
1940,PASS
1941,PASS
1942,PASS
1943,OVERLAP+AT_FAULT
1944,PASS
1945,OVERLAP+AT_FAULT
1946,PASS
1947,PASS
1948,PASS
1949,PASS
1950,PASS
1951,PASS
1952,PASS
1953,PASS
1954,PASS
1955,PASS
1956,LOW_PROGRESS
1957,PASS
1958,PASS
1959,PASS
1960,PASS
1961,PASS
1962,PASS
1963,PASS
1964,PASS
1965,PASS
1966,PASS
1967,PASS
1968,PASS
1969,PASS
1970,PASS
1971,PASS
1972,PASS
1973,PASS
1974,PASS
1975,PASS
1976,PASS
1977,PASS
1978,PASS
1979,OVERLAP
1980,PASS
1981,PASS
1982,PASS
1983,PASS
1984,PASS
1985,PASS
1986,PASS
1987,PASS
1988,PASS
1989,PASS
1990,PASS
1991,PASS
1992,PASS
1993,PASS
1994,PASS
1995,PASS
1996,PASS
1997,PASS
1998,PASS
1999,LOW_PROGRESS
2000,PASS
2001,PASS
2002,PASS
2003,PASS
2004,PASS
2005,PASS
2006,PASS
2007,PASS
2008,PASS
2009,PASS
2010,PASS
2011,PASS
2012,PASS
2013,PASS
2014,PASS
2015,PASS
2016,PASS
2017,PASS
2018,PASS
2019,PASS
